year,yield(kilotons)
1945,57
1946,21
1948,104
1949,22
1950,0
1951,589.55
1952,11029
1953,710.7
1954,48321.831
1955,2030.5
1956,22938.49
1957,9629.0675
1958,56734.2572
1960,78
1961,95698.635
1962,178377.479
1963,0
1964,22
1965,35
1966,1080
1967,3477
1968,7595
1969,3000
1970,6174.05
1971,1462
1972,188.501
1973,3021.85
1974,1608.001
1976,4200
1977,0
1978,11
1979,0
1980,1000
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0